1	Cuanto más estoy contigo, más ganas me entran de quedarme solo
1	Tenemos un gran gobierno. Por eso nos ha costado tanto dinero
1	Me gustaría ser tu mejor desconocido
1	La suerte es el gran aliado de mis enemigos cuando tienen éxito
1	La memoria tiene un don: recuerda especialmente aquello que queremos olvidar
1	Sé hacer varias cosas a la vez, pero se me da mejor evitar hacer varias cosas al mismo tiempo
1	Desde que me pusiste los cuernos he querido tirarme por un barranco, pero no lo voy a hacer porque no tengo alas, sino cuernos
1	¿Quieres ser productivo? Cambia tu personalidad
1	No puedes ser uno entre un millón, porque eso significaría que eres como otros siete millones de personas en este mundo
1	Si no aprendes a sonreír por ti mismo, yo puedo ayudarte haciéndolo por ti
1	Basta con hacerme feliz para que mi debilidad te permita jugar con mis sentimientos
1	El ser humano es extraordinario. Sabe identificar una piedra cuando se ha tropezado con ella por segunda vez
1	Puede que tu oído sepa escuchar a tus amigos, pero tu cerebro siempre está pensando en otra cosa
1	No me decepcionaste porque nunca esperé nada de ti
1	El matrimonio es la principal causa de divorcio
1	No iré a tu entierro, pero eso no quiere decir que no lo apruebe
1	¿Cómo que si aún sigo enamorado de ti? No voy a responder a semejante estupidez
1	Tu ausencia me ha dejado un vacío... igual que tu presencia
1	No suelo olvidar una cara, pero con usted haré una excepción
1	No tiene enemigos, pero sus amigos no le quieren ver ni en pintura
1	La inmortalidad no se consigue permaneciendo en el recuerdo de los demás. Se consigue no muriendo
1	A lo mejor he cambiado de postura, pero sigo teniendo razón
1	Quédate a mi lado, adoro la soledad
1	Eres una de esas rutinas de las que me gustaría deshacerme
1	¿Por qué los sacerdotes nos dan tantas lecciones sobre sexo, si ellos no lo han probado?
1	Lo mejor que puedo recibir de ti, es tu ausencia
1	La vida es gris antes de volverse totalmente negra
1	Si te casas conmigo, juro no mirar a otros orcos
1	He tenido un día formidable, pero no ha sido hoy
1	Lo único que importa es que hablen de ti, aunque sea bien
1	No soy vegano por respeto a los animales; es que no soporto a las plantas
1	Si quieres dar en el blanco, dispara y luego convierte en tu blanco aquello a lo que has dado
1	Los psicólogos te dan los mismos consejos que un amigo, pero por mucho dinero
1	Es mejor que digan cosas malas sobre ti, a que no digan nada
1	De pequeño, mis padres me aseguraban que cualquier persona puede llegar a ser presidente de una nación. Hoy he confirmado que es cierto
1	No necesitas un médico que te ayude, sino una buena cirugía plástica
1	Siembra recuerdos y recogerás llantos
1	Desgraciadamente, la sabiduría de una sociedad emerge cuando hemos agotado todos los recursos
1	La totalidad de los americanos son, prácticamente en su totalidad, idiotas
1	Yo te tomaría en serio, pero eso sería un insulto a tu estupidez
1	Pobre universo, si somos los únicos seres inteligentes que habitamos en él
1	Una acción demuestra mucho más que mil palabras, pero no tan frecuentemente
1	Solía ponerte en un pedestal. Ahora subiré ese pedestal a lo mas alto, para no tener que verte
1	¿Por qué hablas tanto de libertad? Si siempre estás imitando a otros
1	Dentro de mí hay tanto odio como amor hubo algún día. ¿Lo hubo?
